Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Region,Year,Month
-1.234919976441035,-1.496322716865571,-1.4756326032865152,-1.4346194804964683,-2.8181874469953674,-2.453041402230548,-2.005772936406709,-0.39196562934510265,0.3874029969935642,Central,2014,1
-1.0692386254481694,-1.1592898103633447,-1.2078743744265281,-1.2002110202047882,-1.915184105053523,-1.5016774557381818,-1.0895530132617102,0.4314042326831765,0.12407557382736624,Central Business District and Surrounding,2014,1
-1.387420518754547,-1.6806472740298226,-1.649292026996992,-1.5997521148101688,-2.2175755130035664,-2.046115825755985,-1.521941098467305,1.3421316319195293,0.5246207599461938,East,2014,1
-1.0870964955892823,-1.177887579842487,-1.16617694146353,-1.1828576325716522,-2.0987044088794673,-1.9260026123444516,-1.2223951356059835,-0.22628754742942603,-0.3150212716722436,Islands,2014,1
-0.9188356743897435,-1.5907580559376078,-1.5285132555021934,-1.4716675858707238,-2.6994553645103077,-2.309915856730892,-2.636773011485965,0.8702001229891992,0.7454760179549025,North,2014,1
-1.294446210654814,-1.4754518868965176,-1.4738752399108765,-1.4505956152831305,-2.257199227308105,-1.9125319784177561,-1.7264137705653348,2.254867246316126,1.4537810483241638,North-East,2014,1
-1.1446385216678798,-1.1648691414953527,-1.2553231775456082,-1.275822209891353,-2.332275722289543,-3.0339627591426583,-1.1481598355053813,0.7266124526596635,1.7112277097869053,South-East,2014,1
-1.43036444454079,-1.7184627375804387,-1.6742146308581036,-1.6323930109988574,-1.8985004351921473,-2.0371353996582724,-0.9957820976718347,1.6423603960221071,1.1577827274806398,South-West,2014,1
-1.2300255973584204,-1.6059019536537869,-1.533032189196258,-1.4895521998597845,-2.3938430687819188,-1.6986855682638482,-2.255068973284428,0.043650580524204056,-0.19686152915752672,West,2014,1
-1.9010626277564204,-2.0917170136830285,-2.0157592857950757,-1.977621149234115,-1.528742647536474,-0.013862192175434959,-1.4836244255862947,-0.3179663387111181,0.15633808308089142,Central,2014,2
-1.9075309876908915,-2.0946911806501154,-2.018766202601522,-1.9847877837112915,-0.7053205050919282,0.7064250340728234,-0.6638163350363261,0.4285353481020251,-0.313527745372698,Central Business District and Surrounding,2014,2
-1.8438237445104764,-2.046646943741838,-1.9789687759065175,-1.9504794279237723,-1.0470377109044442,0.22420819742606474,-1.1425317172482512,1.4883491128557251,0.29246292784522343,East,2014,2
-1.9251053995709146,-2.1276358002937794,-2.0442365557041544,-2.0067451314306743,-0.9269749151524019,0.08004027460843946,-0.5859529958657984,0.16839924314175703,-0.1977794277868184,Islands,2014,2
-1.6509445736889627,-1.7940715253206845,-1.7266530896617507,-1.7281612815445488,-1.398523320283031,0.249686157403121,-2.264340634068495,0.9482517135998801,0.5647126173738846,North,2014,2
-1.550550745397603,-1.52845552919141,-1.35494512333197,-1.3521417011296477,-1.0331843054269756,0.4081465831505908,-1.3040260570716091,2.790882461737556,1.3004378634471936,North-East,2014,2
-1.8954485792734899,-2.0720417541766647,-2.001255334481306,-1.9696921068420103,-1.3564303039361987,-1.3069545409714853,-0.9147093369948166,0.8487552108229092,1.3250343807063136,South-East,2014,2
-1.8141669245206038,-1.9567355857121056,-1.8930063339065522,-1.8681393738800245,-0.8069121064705187,0.12478205059857073,-0.7460054294026361,1.351240339453045,0.9937048199202934,South-West,2014,2
-1.6207019396314488,-1.7523024542235426,-1.6485364261743471,-1.6375872218658742,-0.9869778027313567,0.8406503411637197,-1.870698170907997,0.10114183111784164,-0.38466473114625743,West,2014,2
-0.8636526509472437,-1.0274522909944233,-1.0075349834793008,-0.9041016263198759,-0.7160457168135869,0.4970287535630382,-0.6851659640045262,-0.6424909714254237,-0.08240449025662658,Central,2014,3
