Year,Month,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Region
2014,January,2.25483871,1.105734767,1.286379928,1.499641577,25.9016129,29.36290323,23.82419355,7.935483871,36.00322581,Central
2014,January,2.793548387,1.690322581,1.887096774,2.10967742,26.6,30.27419355,24.58064516,10.58064516,34.70322581,Central Business District and Surrounding
2014,January,1.758986175,0.786021505,0.896774194,1.069892473,26.36612904,29.75268817,24.22365591,13.50645162,36.68064516,East
2014,January,2.735483871,1.658064516,1.980645161,2.15483871,26.45806452,29.86774194,24.47096774,8.467741935,32.53548387,Islands
2014,January,3.282580645,0.941935484,1.167741936,1.403225807,25.99344086,29.5,23.30322581,11.99032258,37.77096774,North
2014,January,2.061290322,1.141935484,1.290322581,1.458064516,26.33548387,29.88064516,24.05483871,16.43870968,41.26774194,North-East
2014,January,2.548387097,1.680645161,1.780645161,1.912903226,26.27741935,28.80645161,24.53225806,11.52903226,42.53870968,South-East
2014,January,1.619354839,0.720430108,0.840860215,0.984946236,26.61290323,29.76129032,24.65806452,14.47096774,39.80645161,South-West
2014,January,2.270752688,0.915668203,1.157603687,1.356682028,26.22980287,30.08548387,23.61836918,9.334946237,33.11881721,West
2014,February,0.088888889,0.073015873,0.074603175,0.086507937,26.89887567,31.69933863,24.25529101,8.173214286,34.8625,Central
2014,February,0.067857143,0.067857143,0.067857143,0.067857143,27.53571429,32.38928571,24.93214286,10.57142857,32.54285714,Central Business District and Surrounding
2014,February,0.275,0.151190476,0.157142857,0.157142857,27.27142857,31.92738095,24.53690476,13.97619048,35.53452381,East
2014,February,0.010714286,0.010714286,0.010714286,0.010714286,27.36428571,31.78928571,24.99642857,9.735714286,33.11428571,Islands
2014,February,0.902142857,0.589285715,0.723214286,0.735714286,26.99958792,31.95178572,23.61071429,12.24107143,36.87857143,North
2014,February,1.228571429,1.05,1.557142857,1.714285714,27.28214286,32.10357143,24.40357143,18.16071429,40.51071429,North-East
2014,February,0.107142858,0.107142858,0.107142858,0.107142858,27.03214286,30.46071429,24.725,11.92142857,40.63214286,South-East
2014,February,0.371428571,0.307142857,0.35,0.371428571,27.45714286,31.83214286,24.86428571,13.53571429,38.99642857,South-West
2014,February,1.000476191,0.661734694,0.898469388,0.971428572,27.31787919,32.51785714,23.93571429,9.519642857,32.19166667,West
2014,March,3.462007168,1.918996416,2.33655914,2.880286738,27.52741936,32.18870968,24.91451613,7.130645162,33.68387097,Central
2014,March,4.735483871,2.687096774,3.312903226,4.2,28.16451613,32.50322581,25.67096774,8.506451613,31.2483871,Central Business District and Surrounding
2014,March,2.334884793,1.126881721,1.316129032,1.741935484,28.01129032,32.68602151,25.27311828,11.83125448,35.23397849,East
2014,March,2.530107527,1.557485525,1.854755997,2.204797353,27.62766749,31.31803143,25.27841191,11.58887511,34.35368073,Islands
2014,March,4.981290323,2.353225807,2.793548387,3.238709678,27.53225807,32.63064516,24.15161291,10.89354839,37.56129032,North
2014,March,2.856451613,0.729032258,0.870967742,1.148387097,27.93225806,32.88387097,25.01612903,14.32258065,37.68387097,North-East
2014,March,2.195601173,1.12971652,1.355522972,1.801759531,27.48421053,30.93684211,25.23157895,10.05789474,37.84736842,South-East
2014,March,4.789247312,2.617204301,3.52688172,4.137634409,28.06129032,32.02258065,25.59677419,11.36451613,34.48387097,South-West
2014,March,3.72856931,2.039520669,2.458336928,2.859901024,27.74917563,32.67419355,24.60430108,8.003225807,30.77956989,West
2014,April,8.663160919,5.544224138,6.781666667,7.475775862,28.08833334,32.42,25.27666667,5.08,30.27666667,Central
2014,April,8.406666667,5.588333334,6.898333333,7.5,28.83666667,32.61,25.84,4.963333333,26.97666667,Central Business District and Surrounding
2014,April,6.964285714,4.493333333,5.387777778,5.747777778,28.46166667,32.67,25.59333334,6.372222222,30.09666667,East
2014,April,5.148888889,3.1,3.813333333,4.231111111,28.12,31.55777778,25.61,6.879999999,29.19333333,Islands
2014,April,7.528666666,5.618333333,6.99,7.72,27.66,32.675,24.46833333,6.75,27.35,North
2014,April,5.361666667,4.38,5.646666667,6.166666667,28.55333333,33.73333333,25.56333333,7.826666667,31.60666667,North-East
2014,April,6.323188406,4.371980677,5.012463768,5.893333333,28.13636364,30.37826087,25.79130435,7.613043478,34.20869565,South-East
2014,April,5.546666667,3.657777778,4.377777778,4.942222222,28.65333333,31.41,26.21666667,8.836666667,36.59333333,South-West
2014,April,6.082888889,4.036190476,4.965238095,5.463333333,28.02869048,32.39,25.09277778,5.745,28.80111111,West
2014,May,7.226164875,4.296415771,5.233333333,5.597491039,28.45967742,32.10322581,25.67741935,5.65,31.21129033,Central
2014,May,3.967741936,2.390322581,2.890322581,3.196774194,29.30645161,32.70645161,26.5516129,4.661290323,23.79032258,Central Business District and Surrounding
2014,May,6.060829493,3.804301075,4.743010753,5.134408602,28.86774193,32.5516129,26.08172043,7.349462366,30.92150538,East
2014,May,4.474480287,3.040430108,3.495913979,3.813835126,28.57419355,31.83763441,26.15483871,6.863440861,29.32473118,Islands
2014,May,8.608164627,5.487708565,6.621051168,7.166629589,27.97096774,32.38225807,24.68225807,6.293548388,32.36451613,North
